id,planning_area_name,inhabitants,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
11300723,Bornitzstraße,2413,0.05584,,-0.5007,-0.71452,-1.15938,-0.39228,mittel,-1.27832
11300724,Roedeliusplatz,3989,0.05004,,-0.08336,0.10212,0.0688,0.02328,mittel,-0.50537
11300725,Nibelungenviertel,9837,-0.3082,,-0.23141,-0.3693,-0.90891,-0.30753,mittel,-0.93935
11300826,Frankfurter Allee Süd,9956,0.1454,,0.1903,0.52953,0.86523,0.29276,mittel,0.12378
11400927,Victoriastadt,4218,-0.60121,,-0.65204,-0.8618,-2.11505,-0.71564,mittel,-0.74931
11400928,Nöldnerplatz,2359,-0.61527,,-0.63265,-0.71471,-1.96263,-0.66407,mittel,0.48659
11400929,Weitlingkiez,16111,0.04208,,-0.1176,-0.15826,-0.23378,-0.0791,mittel,-0.6106
11400930,Zachertstraße,4615,-0.75423,,-0.82984,-1.03382,-2.61789,-0.88578,mittel,-0.61453
11400931,Massower Straße,6764,0.4446,,0.14111,0.33604,0.92175,0.31188,mittel,-0.76057
11401032,Rosenfelder Ring,5824,0.79112,,0.21882,0.99202,2.00196,0.67737,mittel,0.17758
11401033,Gensinger Straße,6756,0.39777,,0.4047,0.35141,1.15388,0.39042,mittel,-0.59377
11401034,Tierpark,3195,0.55239,,0.31495,0.91945,1.78679,0.60457,mittel,0.86083
11401135,Dolgenseestraße,10139,0.70463,,0.36678,0.95017,2.02158,0.68401,mittel,0.71857
11401136,Volkradstraße,8155,-0.26811,,-0.54676,-0.09626,-0.91113,-0.30829,mittel,-0.42064
11401137,Erieseering,8708,0.50961,,0.43718,0.81341,1.7602,0.59557,mittel,0.0988
11501238,Rummelsburg,4244,-0.64322,,-0.61752,-0.86668,-2.12742,-0.71982,mittel,-0.73193
11501339,Karlshorst West,10346,-1.0295,,-0.87814,-0.93335,-2.84099,-0.96127,mittel,-0.99568
11501340,Karlshorst Nord,10640,-0.95456,,-1.06396,-1.19575,-3.21427,-1.08757,hoch,-0.894
11501341,Karlshorst Süd,7252,-1.07653,,-1.21418,-1.3184,-3.60911,-1.22116,hoch,-0.342
12100101,Letteplatz,10985,1.05798,,1.30982,1.31908,3.68688,1.24748,niedrig,0.71725
12100102,Hausotterplatz,9986,1.10008,,1.39707,1.50101,3.99816,1.3528,niedrig,1.11379
12100103,Breitkopfbecken,7702,0.83457,,1.07775,1.18023,3.09255,1.04638,niedrig,-0.20811
12100204,Schäfersee,8869,0.69306,,0.94644,1.29736,2.93686,0.9937,mittel,-0.39597
12100205,Teichstraße,14057,0.67241,,0.81195,0.91041,2.39477,0.81028,mittel,0.1184
12100206,Humboldtstraße,4661,0.13351,,0.04584,0.20905,0.3884,0.13142,mittel,0.2774
12200307,Reinickes Hof,2753,1.08887,,0.60821,0.76932,2.4664,0.83452,mittel,1.06167
12200308,Meller Bogen,5667,0.59932,,0.33751,0.76777,1.7046,0.57676,mittel,0.85831
12200309,Scharnweberstraße,10629,1.47472,,1.49585,1.76648,4.73705,1.60281,sehr niedrig,0.25954
12200310,Klixstraße,8270,1.78349,,2.20729,2.11408,6.10486,2.06561,sehr niedrig,0.80864
12200411,Schumacher-Quartier,393,0.59868,,0.57894,0.75035,1.92797,0.65234,mittel,-1.41338
12200412,Waldidyll/Flughafensee,6355,-0.81144,,-0.52915,-0.39896,-1.73955,-0.58859,mittel,-1.28389
12200413,Tegel Süd,8091,1.0561,,1.22432,1.08993,3.37035,1.14038,niedrig,0.31759
12200414,TXL,1428,-0.45965,,-0.16742,0.36599,-0.26108,-0.08834,mittel,-0.7573
12200515,Alt-Tegel,10959,-0.59635,,-0.57606,-0.37066,-1.54307,-0.52211,mittel,-0.52815
12400616,Konradshöhe/Tegelort,6011,-1.25441,,-1.20026,-1.13993,-3.5946,-1.21625,hoch,-0.88781
12400617,Alt-Heiligensee,6871,-1.30004,,-1.22472,-1.35004,-3.8748,-1.31106,hoch,-0.68621
12400618,Heiligensee Nord,3764,-1.31532,,-1.05911,-1.10776,-3.48219,-1.17822,hoch,-1.31018
12400619,Heiligensee,7730,-1.26435,,-1.06811,-1.07815,-3.41061,-1.154,hoch,-0.78647
12400720,Frohnau West,8662,-1.35624,,-1.22048,-1.24946,-3.82618,-1.29461,hoch,-1.23213
12400721,Frohnau Ost,8027,-1.30977,,-1.14207,-1.18879,-3.64063,-1.23183,hoch,-1.28554
12400722,Hermsdorf West,8608,-1.12885,,-1.14947,-1.2244,-3.50272,-1.18517,hoch,-0.78096
12400723,Hermsdorf Ost/Waldsee,8118,-1.22712,,-1.11871,-1.08648,-3.43231,-1.16134,hoch,-0.8135
12500824,Ziekowstraße/Freie Scholle,9665,-0.54889,,-0.60743,-0.68081,-1.83713,-0.6216,mittel,-0.35041
12500825,Borsigwalde,6750,0.0148,,-0.12142,-0.01907,-0.12569,-0.04253,mittel,-0.2921
12500926,Wittenau Mitte,5065,0.48495,,-0.07815,0.22484,0.63164,0.21372,mittel,0.12656
12500927,Wittenau Nord,6434,-0.63555,,-0.546,-0.23148,-1.41303,-0.47811,mittel,-0.0844
12500928,Waidmannslust,5166,-0.70339,,-0.82387,-0.73776,-2.26502,-0.76638,mittel,-0.45934
12500929,Lübars,5160,-1.16517,,-1.19294,-1.218,-3.57611,-1.21,hoch,-1.08672
12500930,Wittenau Süd,9936,-0.02334,,0.00596,0.35055,0.33317,0.11273,mittel,-0.43776
12601031,Lübarser Straße,3310,-0.3112,,-0.44162,-0.18266,-0.93548,-0.31652,mittel,-0.93556
12601032,Rollbergesiedlung,5922,1.91876,,3.05704,2.44261,7.41841,2.51006,sehr niedrig,0.58105
12601133,Treuenbrietzener Straße,11610,1.99428,,2.45683,1.78981,6.24092,2.11165,sehr niedrig,1.89751
12601134,Märkisches Zentrum,14722,1.48439,,1.72836,1.62042,4.83317,1.63533,sehr niedrig,0.89565
12601235,Dannenwalder Weg,10656,1.55628,,2.33202,1.68024,5.56854,1.88415,sehr niedrig,0.73944
12601236,Schorfheidestraße,3131,-0.77216,,-0.54118,-0.30685,-1.62019,-0.5482,mittel,-0.61506
